Time (s),Channel 1 (V)
0,-0.032390327
0.000625,-0.038332153
0.00125,-0.02413779
0.001875,-0.025458196
0.0025,-0.02413779
0.003125,-0.02413779
0.00375,-0.031400022
0.004375,-0.029749515
0.005,-0.026118399
0.005625,-0.013574543
0.00625,-0.000370484
0.006875,-0.002351093
0.0075,-0.005982209
0.008125,-0.008292919
0.00875,-0.006642412
0.009375,-0.00631231
0.01,0.004581038
0.010625,0.010522865
0.01125,0.010192763
0.011875,0.016464691
0.0125,0.012503474
0.013125,0.006561647
0.01375,0.001610125
0.014375,-0.007632716
0.015,-0.002351093
0.015625,0.002930531
0.01625,0.004581038
0.016875,-0.00631231
0.0175,-0.007632716
0.018125,0.009862662
0.01875,0.029008548
0.019375,0.039901896
0.02,0.037591186
0.020625,0.03627078
0.02125,0.035280476
0.021875,0.01613459
0.0225,0.008212155
0.023125,0.001610125
0.02375,-0.010933731
0.024375,-0.016875557
0.025,-0.020506674
0.025625,-0.016215354
0.02625,-0.014234746
0.026875,-0.006972513
0.0275,-0.003671498
0.028125,0.008872358
0.02875,0.021746315
0.029375,0.031649359
0.03,0.032639664
0.030625,0.02273662
0.03125,0.017454996
0.031875,0.027027939
0.0325,0.034290171
0.033125,0.034290171
0.03375,0.020425909
0.034375,0.01382388
0.035,0.012503474
0.035625,0.021416214
0.03625,0.018775402
0.036875,0.013163677
0.0375,0.009862662
0.038125,0.014153981
0.03875,0.021416214
0.039375,0.029998852
0.04,0.017454996
0.040625,0.003590734
0.04125,-0.010603629
0.041875,0.000289719
0.0425,0.011183068
0.043125,0.005241241
0.04375,-0.002351093
0.044375,-0.010933731
0.045,-0.006972513
0.045625,-0.003341397
0.04625,0.000289719
0.046875,0.006231546
0.0475,-0.013574543
0.048125,-0.019186268
0.04875,-0.013574543
0.049375,-0.010603629
0.05,-0.01753576
0.050625,-0.023807688
0.05125,-0.009283223
0.051875,-0.003341397
0.0525,0.00722185
0.053125,0.024387127
0.05375,0.030989156
0.054375,0.030659055
0.055,0.024057025
0.055625,0.023396822
0.05625,0.019435605
0.056875,0.00722185
0.0575,0.022076417
0.058125,0.043533012
0.05875,0.05409626
0.059375,0.037261084
0.06,0.03858149
0.060625,0.041882505
0.06125,0.048814636
0.061875,0.059707985
0.0625,0.04518352
0.063125,0.028018243
0.06375,0.012833575
0.064375,0.004250937
0.065,0.017785097
0.065625,0.017785097
0.06625,0.021746315
0.066875,0.017454996
0.0675,0.02273662
0.068125,0.041882505
0.06875,0.024387127
0.069375,0.005901444
0.07,-0.003341397
0.070625,-0.009943426
0.07125,-0.023477587
0.071875,-0.041303066
0.0725,-0.033380631
0.073125,-0.030079616
0.07375,-0.030409718
0.074375,-0.01522505
0.075,-0.00169089
0.075625,0.020756011
0.07625,0.008212155
0.076875,-0.01753576
0.0775,-0.040312762
0.078125,-0.039982661
0.07875,-0.027108703
0.079375,-0.01291434
0.08,-0.0040016
0.080625,-0.00169089
0.08125,-0.00169089
0.081875,-0.004991904
0.0825,-0.01522505
0.083125,-0.015555151
0.08375,-0.025128094
0.084375,-0.017205659
0.085,0.009862662
0.085625,0.031979461
0.08625,0.031979461
0.086875,0.020095808
0.0875,0.004250937
0.088125,-0.008292919
0.08875,-0.013244441
0.089375,-0.013574543
0.09,0.000289719
0.090625,0.01382388
0.09125,0.000619821
0.091875,-0.005322006
0.0925,0.004581038
0.093125,0.023066721
0.09375,0.028678446
0.094375,0.024717228
0.095,0.014153981
0.095625,0.000289719
0.09625,0.010852966
0.096875,0.028348345
0.0975,0.034290171
0.098125,0.030989156
0.09875,0.025377431
0.099375,0.008542256
0.1,0.005901444
0.100625,0.02273662
0.10125,0.054756462
0.101875,0.075222754
0.1025,0.077863566
0.103125,0.059707985
0.10375,0.044193215
0.104375,0.039241693
0.105,0.042872809
0.105625,0.050795245
0.10625,0.056076868
0.106875,0.051785549
0.1075,0.058057477
0.108125,0.057727376
0.10875,0.059707985
0.109375,0.059047782
0.11,0.067960521
0.110625,0.065649811
0.11125,0.068950826
0.111875,0.068290623
0.1125,0.065979913
0.113125,0.064989608
0.11375,0.055746767
0.114375,0.041882505
0.115,0.048814636
0.115625,0.055086564
0.11625,0.066310014
0.116875,0.055086564
0.1175,0.041882505
0.118125,0.037591186
0.11875,0.028018243
0.119375,0.022076417
0.12,0.014153981
0.120625,0.020095808
0.12125,0.040892201
0.121875,0.060698289
0.1225,0.062348796
0.123125,0.052115651
0.12375,0.040562099
0.124375,0.030659055
0.125,0.030659055
0.125625,0.042542708
0.12625,0.043202911
0.126875,0.050465143
0.1275,0.050795245
0.128125,0.050135042
0.12875,0.041552404
0.129375,0.046173824
0.13,0.060038086
